Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
POLICYBZR,PB FINTECH LTD,"6,72,79,00,00,000",672.79 B,"1,463.60",-2.48%,5.13 M,3.04,276.52,5.29,—,0.00%,Neutral
COLPAL,COLGATE PALMOLIVE LTD.,"6,70,13,00,00,000",670.13 B,"2,464.60",-1.30%,1.04 M,2.38,45.86,53.74,16.00%,1.75%,Neutral
BHARTIHEXA,BHARTI HEXACOM LTD,"6,49,35,00,00,000",649.35 B,"1,304.40",-0.13%,914.71 K,1.71,52.27,24.96,—,0.31%,Strong buy
GICRE,GENERAL INS CORP OF INDIA,"6,48,60,00,00,000",648.6 B,368.9,-5.39%,501.59 K,0.76,8.61,42.83,10.38%,2.70%,
ABBOTINDIA,ABBOTT INDIA LTD,"6,47,47,00,00,000",647.47 B,"30,395.65",1.44%,17.58 K,0.8,48.4,628,16.49%,1.35%,Buy
PATANJALI,PATANJALI FOODS LTD,"6,39,62,00,00,000",639.62 B,"1,760.55",-2.87%,5.06 M,6.39,55.48,31.73,39.63%,0.45%,Strong buy
TORNTPOWER,TORRENT POWER LTD,"6,37,51,00,00,000",637.51 B,"1,262.95",-3.79%,2.36 M,3.85,25.8,48.95,27.03%,1.42%,Neutral
BSE,BSE LTD,"6,27,69,00,00,000",627.69 B,"4,633.70",-10.24%,7.18 M,2.8,66.84,69.33,23.14%,0.32%,
HINDPETRO,HINDUSTAN PETROLEUM CORP,"6,25,90,00,00,000",625.9 B,293.75,-4.32%,6.52 M,1.47,10.37,28.34,-64.35%,7.14%,Buy
ASHOKLEY,ASHOK LEYLAND LTD,"6,25,04,00,00,000",625.04 B,212.94,-5.54%,13.35 M,1.31,22.11,9.63,18.69%,3.27%,Buy
BHEL,Bharat Heavy Electricals Ltd,"6,22,94,00,00,000",622.94 B,179.17,-4.41%,17.16 M,1.22,120.19,1.49,—,0.14%,Neutral
WAAREEENER,WAAREE ENERGIES LTD,"6,20,24,00,00,000",620.24 B,"2,158.55",-2.46%,762.2 K,0.7,36.31,59.45,—,0.00%,Sell
AUROPHARMA,AUROBINDO PHARMA LTD,"6,14,46,00,00,000",614.46 B,"1,058.30",-2.07%,795.12 K,0.66,17.69,59.83,26.54%,0.43%,Buy
ATGL,ADANI TOTAL GAS LTD,"6,12,54,00,00,000",612.54 B,557.15,-4.06%,900.37 K,1.22,91.76,6.07,11.77%,0.04%,—
GODREJPROP,GODREJ PROPERTIES LTD,"5,83,15,00,00,000",583.15 B,"1,936.30",-0.15%,2.24 M,2.39,36.15,53.56,123.52%,0.00%,
BERGEPAINT,BERGER PAINTS (I) LTD,"5,69,42,00,00,000",569.42 B,488.55,-3.31%,700.09 K,0.89,49.97,9.78,0.75%,0.72%,Sell
OIL,OIL INDIA LTD,"5,57,93,00,00,000",557.93 B,342.7,-6.34%,5.95 M,2.17,7.55,45.38,24.33%,3.64%,Buy
ALKEM,ALKEM LABORATORIES LTD.,"5,54,17,00,00,000",554.17 B,"4,646.20",0.73%,527.52 K,3.11,25.8,180.08,36.87%,0.91%,Neutral
PHOENIXLTD,THE PHOENIX MILLS LTD,"5,53,27,00,00,000",553.27 B,"1,548.10",2.40%,1.17 M,1.63,49.78,31.1,8.28%,0.16%,
NMDC,NMDC LTD.,"5,49,66,00,00,000",549.66 B,62.48,-4.16%,29.19 M,1.75,8.48,7.37,0.67%,3.87%,Neutral
IDEA,VODAFONE IDEA LTD,"5,39,73,00,00,000",539.73 B,7.55,-3.21%,482.69 M,1.36,—,-4.57,28.21%,0.00%,Sell
OBEROIRLTY,OBEROI REALTY LTD,"5,38,79,00,00,000",538.79 B,"1,484.50",-1.54%,2.24 M,2.98,20.92,70.97,59.40%,0.54%,
IRCTC,INDIAN RAIL TOUR CORP LTD,"5,36,84,00,00,000",536.84 B,670.95,-3.37%,2.52 M,2.57,43.26,15.51,12.22%,1.64%,Neutral
UPL,UPL LTD,"5,34,10,00,00,000",534.1 B,632.95,-1.66%,4.68 M,2.16,—,-0.36,93.77%,0.15%,Buy
LLOYDSME,LLOYDS METALS N ENERGY L,"5,33,03,00,00,000",533.03 B,"1,021.10",-3.49%,641.51 K,1.65,35.71,28.59,16.09%,0.10%,Strong buy
YESBANK,YES BANK LTD,"5,25,49,00,00,000",525.49 B,16.75,-3.51%,133.38 M,2.15,23.83,0.7,98.36%,0.00%,
JSWINFRA,JSW INFRASTRUCTURE LTD,"5,20,19,00,00,000",520.19 B,254.75,-1.77%,2.33 M,0.69,40.12,6.35,11.78%,0.22%,Buy
UBL,UNITED BREWERIES LTD,"5,14,57,00,00,000",514.57 B,"1,946.15",-3.02%,144.3 K,0.26,120.98,16.09,25.60%,0.51%,Neutral
BALKRISIND,BALKRISHNA IND. LTD,"5,06,21,00,00,000",506.21 B,"2,615.65",-2.61%,479.27 K,3.6,28.52,91.72,42.48%,0.61%,Neutral
LINDEINDIA,LINDE INDIA LTD,"5,04,43,00,00,000",504.43 B,"5,927.05",-2.33%,53.5 K,0.43,114.4,51.81,3.25%,0.07%,Buy
SUNDARMFIN,SUNDARAM FINANCE LTD,"5,03,30,00,00,000",503.3 B,"4,537.75",-0.66%,163.79 K,2.2,31.37,144.67,-0.44%,0.66%,
HEXT,HEXAWARE TECHNOLOGIES LTD,"4,95,88,00,00,000",495.88 B,808.45,-2.20%,1.23 M,—,—,—,—,0.00%,Strong buy
COFORGE,COFORGE LTD,"4,92,44,00,00,000",492.44 B,"7,362.15",-1.69%,1.47 M,3.21,61.99,118.76,5.68%,1.03%,Buy
